ticker,mkt_cap_m_yf,cash_m,debt_m,ev_m,operatingCashflow,name,region,primary_modality,size_band,revenue_m_at_t,has_revenue_at_t,net_cash_m,net_cash_to_mc,ev_cash_ratio,inv_ev_cash,peer_log_ev_resid,peer_log_ev_cash_resid,runway_months,cheapness_score,cheapness_raw,z_net_cash_to_mc,z_inv_ev_cash,z_peer_log_ev_resid,z_peer_log_ev_cash_resid,z_runway_months,bucket,ret_1y,ret_3y
EXEL,6117.958076972962,266.501,0.0,5851.457076972962,526956000.0,EXEL,US,?,mid,967.775,1,266.501,0.04356044886987181,21.956604579243464,0.04554438262031387,-0.5445380442947227,-0.25281409697368207,,22.916666666666664,-0.40485400578998887,-0.25684466399928046,-0.4197810731843091,-0.7129373330601712,-0.5062846267065428,0.0,4.0,-0.0891877944891214,0.19531639939709922
RPRX,,1008.68,5816.584,,2034629000.0,RPRX,US,?,unknown,2122.353,1,-4807.9039999999995,,,,,,,63.020833333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.1908684891685507,-0.4041733196672226
BBIO,8735.820126771316,356.082,93.879,8473.617126771316,-399714000.0,BBIO,US,?,mid,8.249,1,262.203,0.030014697669480055,23.79681401129885,0.04202243205856023,-0.7053428575369254,-0.2877677326221433,10.690103423948123,11.458333333333332,-0.5563243024744902,-0.31265004326126444,-0.4296643124395746,-0.9121677084859707,-0.5706990891290205,-0.800230674851975,5.0,-0.7654338326253979,-0.4322880243934626
ROIV,,2269.252,0.0,,-446071000.0,ROIV,US,?,unknown,8.649,1,2269.252,,,,,,60.0,76.04166666666666,0.15423736160257062,0.0,0.0,0.0,0.0,1.542373616025706,2.0,-0.008849572459461386,0.10422806863229228
BMRN,15936.86864601361,649.158,0.0,15287.710646013611,85365000.0,BMRN,US,?,large,1860.455,1,649.158,0.04073309596878544,23.550061227025793,0.04246273461286847,-0.9616164747918021,-0.28324095689333983,,13.541666666666666,-0.5246409213090456,-0.26849270762701466,-0.42842874271403986,-1.2296799019830302,-0.5623569004076355,0.0,5.0,0.007526468403919129,0.09955519995990847
MRNA,41683.53048706055,2624.0,0.0,39059.53048706055,2027000000.0,MRNA,US,?,large,803.0,1,2624.0,0.06295052192890775,14.885491801471245,0.06717950695462829,-1.3690010392280345,-0.08401210418572647,,14.583333333333334,-0.5108262572978497,-0.17696202294311045,-0.35906894609329737,-1.734412180071367,-0.1952071259099182,0.0,5.0,1.4311284843481662,-0.04805211270033094
CYTK,1475.6955515022564,82.985,46.209,1438.9195515022566,8943000.0,CYTK,US,?,small,55.828,1,36.775999999999996,0.02492112953960054,17.3395137856511,0.057671743992471464,0.06468946568033385,-0.1502858316525164,,33.33333333333333,-0.2323342311598644,-0.33363437237521276,-0.38574947283259386,0.04186983399420874,-0.3173399583981176,0.0,4.0,1.1934552610648934,3.0178053467257717
MDGL,1724.0405624237367,54.004,0.0,1670.0365624237368,-157561000.0,MDGL,US,?,small,0.0,0,54.004,0.03132408899015616,30.92431231804564,0.03233701657502851,-0.0,-0.40154896706814425,4.11299750572794,18.75,-0.4585466187629588,-0.30725565219563156,-0.4568433647380075,-0.03827768319593501,-0.780381341479434,-1.1126944522159394,5.0,-0.23774400234324056,1.0813169802448295
TARS,839.9579345428924,168.129,0.0,671.8289345428924,-21138000.0,TARS,US,?,small,0.0,0,168.129,0.20016359520610552,3.9959134625370547,0.2502556697924804,0.3954672751004833,0.48713500931955656,60.0,88.54166666666666,0.5634746024297924,0.38832427832270405,0.15467634576608674,0.45168957647940755,0.8573338644065581,1.542373616025706,1.0,-0.4556012822846316,-0.5100411540561685
ARQT,1219.1102245689353,65.082,0.0,1154.0282245689355,-113033000.0,ARQT,US,?,small,0.0,0,65.082,0.05338483648844165,17.73191089039881,0.05639550109297379,0.16050954866406908,-0.16000445645680017,6.909345058522732,30.208333333333332,-0.2756945379247508,-0.21637044673658826,-0.3893308444908289,0.16058687188179527,-0.33524996920642836,-0.9798461554068189,4.0,-0.2627088378998389,-0.8851759646129523
