ticker,name,mkt_cap_m,revenue_m,stage_raw,subsector_raw,industry,region,exchange_hint,notes,source_sheet,log_mkt_cap,log_revenue,has_revenue,size_band,size_band_ord,rich_modalities,rich_therapeutic_areas,pipeline_filed,modality_source,combined_modalities,primary_modality,is_compound_modality,mod_Oncology,mod_Gene/Cell Therapy,mod_RNA/Antisense,mod_Neurology,mod_Immunology,mod_Rare Disease,mod_Metabolic,mod_Cardiovascular,mod_Ophthalmology,mod_Vaccines,mod_Dermatology,mod_AI/Platform,mod_Psychedelics/CNS,mod_Biosimilars,mod_General Biotech
GNLX,Genelux Corporation,120.01,0.008,Pre-revenue,Gene/Cell Therapy,Biotechnology,US,,,US Biotech,2.079217435746567,0.0034605321095064895,1,micro,1,['Oncolytic virus'],"['Oncology', 'Rare disease']",2026-03-19,lexicon,"['Oncolytic virus', 'Oncology', 'Rare disease', 'Gene/Cell Therapy']",Gene/Cell Therapy,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INO,"Inovio Pharmaceuticals, Inc.",119.54,0.18234,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.077513251497663,0.07274238254425948,1,micro,1,"['Vaccine', 'Monoclonal antibody', 'Gene therapy']","['Oncology', 'Infectious disease', 'Rare disease']",2026-03-12,lexicon,"['Vaccine', 'Monoclonal antibody', 'Gene therapy', 'Oncology', 'Infectious disease', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GANX,"Gain Therapeutics, Inc.",117.31,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.069335034789939,0.0,0,micro,1,"['Gene therapy', 'Small molecule']","['Rare disease', 'Neurology/CNS', 'Oncology']",2026-03-26,lexicon,"['Gene therapy', 'Small molecule', 'Rare disease', 'Neurology/CNS', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GOSS,"Gossamer Bio, Inc.",115.89,44.05,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.064045962864483,1.6536947953150818,1,micro,1,"['Diagnostics/devices', 'Small molecule']","['Rare disease', 'Cardiovascular', 'Oncology']",2026-03-17,lexicon,"['Diagnostics/devices', 'Small molecule', 'Rare disease', 'Cardiovascular', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ONCY,Oncolytics Biotech Inc.,114.06,0.0,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0571333672490866,0.0,0,micro,1,"['CAR-T cell therapy', 'Vaccine']",['Oncology'],2026-03-30,lexicon,"['CAR-T cell therapy', 'Vaccine', 'Oncology', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COYA,"Coya Therapeutics, Inc.",112.31,3.99,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0504184272451353,0.69810054562339,1,micro,1,['Gene therapy'],"['Neurology/CNS', 'Immunology/I&I', 'Rare disease']",2026-03-16,lexicon,"['Gene therapy', 'Neurology/CNS', 'Immunology/I&I', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CDXS,"Codexis, Inc.",111.1,52.93,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0457140589408676,1.7318304202881625,1,micro,1,"['RNAi/siRNA', 'Small molecule', 'Gene therapy']",[],2026-03-11,lexicon,"['RNAi/siRNA', 'Small molecule', 'Gene therapy', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DTIL,"Precision BioSciences, Inc.",110.97,0.698,Pre-revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0452055860350566,0.22993768590793384,1,micro,1,"['Gene editing', 'Gene therapy']","['Infectious disease', 'Oncology', 'Rare disease']",2026-03-12,lexicon,"['Gene editing', 'Gene therapy', 'Infectious disease', 'Oncology', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EQ,"Equillium, Inc.",107.78,4.39,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0325381792600066,0.7315887651867387,1,micro,1,[],['Immunology/I&I'],2026-03-25,lexicon,"['Immunology/I&I', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KRRO,"Korro Bio, Inc.",105.29,7.37,Has revenue,General Biotech,Biotechnology,US,,,US Biotech,2.0223871256864383,0.92272545799326,1,micro,1,"['Gene therapy', 'Gene editing']",['Rare disease'],2026-03-12,lexicon,"['Gene therapy', 'Gene editing', 'Rare disease', 'General Biotech']",General Biotech,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
